operator,term,odds_ratio,ci_low,ci_high,p_value
LN,(Intercept),4.1275124229598426,1.0393441977808506,16.39145033768689,0.04392474574381796
LN,pv_without_storage,0.43397545995877906,0.13793913389650475,1.3653463997225088,0.1534488037947946
LN,pv_storage,0.5377260589739542,0.1544599685454132,1.8720016404421767,0.32966185049477537
LN,pv_capacity_mid,1.0472213862553303,0.9358346271568918,1.1718658404020346,0.42130388914300454
LN,has_ev,2.0136385446179492,0.6468579264377761,6.268362839271992,0.22701582559329064
LN,charges_wallbox,0.6168061739074913,0.18333602970374255,2.0751505134325052,0.43503541166538534
LN,dwelling_size_m2,0.9983636508986055,0.9928190369350117,1.0039392299654673,0.564376837523487
LN,household_size,0.9926566899729818,0.6806719867006658,1.447638985297987,0.969459116689905
LN,owner,1.6725873994398768,0.5887252518431471,4.751874664806114,0.3342913294503874
LN,has_children_u14,1.2535509038726087,0.5461571793124916,2.877175157850926,0.5939657284844414
LN,children_missing,1.4347246216818035,0.35944859670083995,5.726645642668005,0.6092550932734819
LN,income_group3.501 bis 5.500 Euro,0.8254405155265419,0.30671398248722825,2.2214573954126626,0.7040990293502953
LN,income_groupÜber 5.500 Euro,0.5331445278569333,0.1937453565821265,1.4670962576762705,0.22328914076602632
LN,income_groupKeine Angabe,0.8370305804842478,0.32549622758368285,2.15246793447298,0.7120148294553383
NOE,(Intercept),1.4833388746242404,0.5920900086323795,3.7161481951938167,0.40008126066694827
NOE,pv_without_storage,0.9946016585866355,0.5956132783594584,1.6608636764915687,0.9834923171870085
NOE,pv_storage,1.071093808959393,0.606704551139389,1.8909400719619205,0.8127908854233095
NOE,pv_capacity_mid,1.0128830227682881,0.9676469671444635,1.060233796670454,0.5829168952865971
NOE,has_ev,1.121834291327142,0.7180356042079641,1.752715561487629,0.6135653745216523
NOE,charges_wallbox,1.0683603132433364,0.6673044491812471,1.7104542916113317,0.7830250408092094
NOE,dwelling_size_m2,0.9984631276779281,0.9964041712130766,1.000526338743319,0.14419430940535657
NOE,household_size,1.0391148661306422,0.9014642627376682,1.1977842601708544,0.5966625285839885
NOE,owner,0.7824347408932798,0.3348230031168372,1.8284410511159055,0.5710404120048362
NOE,has_children_u14,1.0496071831063767,0.7649624011171156,1.440169134090339,0.7642007634092938
NOE,children_missing,0.8959059847191391,0.4500037166894392,1.7836464537680716,0.7543761905131997
NOE,income_group3.501 bis 5.500 Euro,0.6997907246223277,0.48647564070811966,1.0066425064050877,0.05432002116286054
NOE,income_groupÜber 5.500 Euro,0.804904210518578,0.5351628813602034,1.2106048656884916,0.2973203692565947
NOE,income_groupKeine Angabe,0.7242606041643346,0.4979815529469256,1.0533591448123245,0.09141775427193902
