report_group,n_15min,zero_share,mean_kwh_15m,median_kwh_15m,p90,p99,p995
Gesamt,84447203,0.155897869110005,0.143421675231752,0.0410000011324883,0.405250012874603,1.41199994087219,2.14199995994568
LN Kontroll,3727318,0.163841668459734,0.111299171952259,0.0320000015199184,0.294999986886978,1.20899999141693,1.60899996757507
LN Dynamisch,7788403,0.150340320088727,0.111911751950265,0.034000001847744,0.296000003814697,1.11899995803833,1.66100001335144
LN Statisch,7481615,0.161642639991499,0.138909216921701,0.0359999984502792,0.38400000333786,1.52900004386902,2.42600011825562
NOÖ Kontroll,33023237,0.151537900418424,0.147362336364646,0.046000000089407,0.423000007867813,1.36341000556961,1.97699999809265
NOÖ Tarif,32426630,0.159434329130101,0.15171022865051,0.0419999994337559,0.428999990224838,1.54100000858307,2.44099998474121
