hour,noe_ht,noe_pt,noe_nt,ln_dynamic_exception,ln_static_exception
0,20.3780318151576,69.64011371197,9.98185447287244,0,0
1,20.5691647009012,68.7564265408577,10.6744087582411,0,0
2,20.5352930502631,68.7933224460171,10.6713845037198,0,0
3,21.0935704348878,68.2423032722434,10.6641262928688,0,0
4,20.5485997701567,69.4737797133007,9.97762051654267,0,0
5,21.9415714026492,68.0753644226698,9.98306417468094,0,0
6,27.4269642533116,62.591181273816,9.98185447287244,0,0
7,20.9671565958991,69.0062299643138,10.0266134397871,0,0
8,19.8070525615436,69.9824593237767,10.2104881146797,0.129341317365269,0
9,20.059880239521,68.6675134579326,11.2726063025464,1.23832335329341,0
10,19.8518115284582,60.5050505050505,19.6431379664913,12.2203592814371,5.08982035928144
11,19.8173350269159,24.0900018145527,56.0926631585314,55.6479041916168,86.8263473053892
12,19.8185447287244,19.4665215024496,60.714933768826,62.4862275449102,100
13,19.8760055646283,19.3515998306417,60.7723946047299,52.0958083832335,58.9820359281437
14,19.6903163370229,30.5770277626565,49.7326559003206,39.1137724550898,40.7185628742515
15,19.6975745478739,64.1226637633823,16.1797616887437,4.75688622754491,0
16,19.7532208310651,68.5338414080929,11.712937760842,1.83712574850299,0
17,43.9399987902982,45.9511280469364,10.1088731627654,0,0
18,59.6165245267042,35.2924454122059,5.09103006108994,0,0
19,64.8375975322083,29.9721768584044,5.19022560938729,0,0
20,41.5357164458961,48.4806145285187,9.98366902558519,0,0
21,24.1444383959354,65.8749168330007,9.98064477106393,0,0
22,20.6314643440392,69.3951490957479,9.97338656021291,0,0
23,19.8433436157987,70.1790358676586,9.97762051654267,0,0
